python,英 [?pa?θ?n]美 [?pa?θɑn],n. 巨蛇，大蟒;
specialized,英 [?spe??la?zd]美 [ ?sp???l?a?zd],adj. 专门的; 专业的; 专用的; v. 专攻(specialize的过去式和过去分词);
michael,英 ['ma?k?l]美 ['ma?k?l],n. 迈克尔（男子名）;
availability,英 [??ve?l?'b?l?t?]美 [??vel??b?l?t?],n. 有效; 有益; 可利用性; 可得到的东西（或人）;
cheese,英 [t?i:z]美 [t?iz],n. 奶酪; <俚>微笑; vt. <俚>停止;
restricted,英 [r??str?kt?d]美 [r??str?kt?d],adj. 有受限制的; （土地）对公众不完全开放的; 保密的; v. 限制( restrict的过去
intersect,英 [??nt??sekt]美 [??nt?r?sekt],vt. 横断，横切，横穿; vt.& vi. （指线条、道路等）相交，交叉;
differently,英 ['d?fr?ntl?]美 [?d?f?r?ntl?],adv. 不同地，相异地;
easiest,英 ['i:z??st]美 ['iz??st],adj. 容易的，轻松的; 不费力的( easy的最高级 ); 宽松的; 宽裕的; 从容的;
portability,英 [?p?:t?'b?l?t?]美 [?p?t?'b?l?t?],n. 可携带，轻便;
breadth,英 [bredθ]美 [br?dθ],n. 宽度; 宽容; （知识、兴趣等的）广泛;
duration,英 [dju?re??n]美 [du?re??n],n. 持续，持续的时间，期间; （时间的）持续，持久，连续; [语音学]音长，音延;
anime,英 [??n?me?]美 [??n??me],n. [影视]（日本）动漫，动漫电影，动画片; 硬树脂;
grouping,英 [?gru:p??]美 [?ɡrup??],n. 分组; 归类，编组（工作）; v. 使成群，集合( group的现在分词); 分类，归类;
innermost,英 [??n?m??st]美 [??n?rmo?st],adj. 最深处的; 隐私的，最隐秘的;
subtype,英 ['s?bta?p]美 ['s?b?ta?p],n. 图表类型;
technical,英 [?tekn?kl]美 [?t?kn?k?l],adj. 技术（性）的，工艺的，学术（上）的，专门（技术）的，艺术的; [法]根据法律的，法律上的;
nevada,"英 [ne?vɑ:d?]美 [n??v?d?, -?vɑd?]",n. 内华达州（美国西部内陆州）;
analyze,英 ['?n?la?z]美 [??n??la?z],vt. <美>分析; 分解; 解释; 对…进行心理分析;
successfully,英 [s?k'sesf?l?]美 [s?k?s?sf?l?],adv. 成功地; 顺利地;
dummy,英 [?d?mi]美 [?d?mi],n. 仿制品; 沉默寡言的人; 笨蛋，蠢货; 挂名代表，傀儡; vt. 制作样本，制作样张; 不吭声
excel,英 [?k?sel]美 [?k?s?l],vt. 优于，擅长; vi. 胜过;
freeze,英 [fri:z]美 [friz],vt. 使结冰，使冻僵; 冷藏; 吓呆; 冻结（存款，工资等）; vi. 凝固，结冰; 冻伤，冻死;
startup,英 ['stɑ:t?p]美 ['stɑt'?p],n. 启动; 新兴公司（尤指新兴网络公司）; 新兴公司，新开张的企业;
sighting,英 [?sa?t??]美 [?sa?t??],n. 照准，观察，视线; v. “sight”的现在分词;
grammatical,英 [gr??m?t?kl]美 [ɡr??m?t?k?l],adj. 语法上的，符合语法规则的;
permanent,英 [?p?:m?n?nt]美 [?p?rm?n?nt],adj. 永久（性）的，永恒的，不变的，耐久的，持久的，经久的; 稳定的; 常务的，常设的; n. 
mediator,英 [?mi:die?t?(r)]美 [?midi?et?],n. 调解人; 调停者; 传递者; 中介物;
graphic,英 [?gr?f?k]美 [?ɡr?f?k],adj. 图解的，用图表示的; 用文字表示的; 形象的，生动的;
tesseract,英 ['tes??r?kt]美 ['tes??r?kt],n. 立方体的四维模拟，超正方体;
despite,英 [d??spa?t]美 [d??spa?t],prep. 不管; 虽有; 尽管（自己）不愿意; 不在乎; n. 侮辱; 憎恨; 怨恨; 轻蔑的拒绝
preserve,英 [pr??z?:v]美 [pr??z?rv],vt. 保护; 保持，保存; 腌制食物; 防腐处理; vi. 保鲜; 保持原状; 做蜜饯; 禁猎; 
feedback,英 [?fi:db?k]美 [?fid?b?k],n. 反馈; 反应; 反馈噪音;
moderation,英 [?m?d??re??n]美 [?mɑd??re??n],n. 适度; 自我节制; 稳定，镇定; （牛津大学）B.A学位的第一次考试;
modeling,英 ['m?dl??]美 ['m?d?l??],n. 造型（术）; （图画等的）立体感; 模特儿职业; adj. 制造模型的; 模特儿的;
revisit,英 [?ri:?v?z?t]美 [ri?v?z?t],vt. 重游; 再访; 回到; 重临; n. 重访问; 再参观;
attention,英 [??ten?n]美 [??t?n??n],n. 注意，注意力; 照料，关怀; 殷勤; int. [口令]立正;
dependent,英 [d??pend?nt]美 [d??p?nd?nt],adj. 依赖的; 依靠的; 取决于…的; 有瘾的; n. 受抚养人; 受赡养者; 依赖他人者; 扈
iterative,英 ['?t?r?t?v]美 ['?t??re?t?v],adj. 重复的，反复的，迭代的; n. 反复体;
background,英 [?b?kgra?nd]美 [?b?k?ɡra?nd],n. （画等的）背景; 底色; 背景资料; 配乐;
evenly,英 [?i:vnli]美 [?iv?nl?],adv. 均匀地; 平坦地; 淡然地; 不卑不亢地;
syndication,英 [?s?nd?'ke??n]美 [?s?nd?'ke??n],n. 企业联合组织;
agreement,英 [??gri:m?nt]美 [??ɡrim?nt],n. 协定，协议; 同意，一致; 合同书; （词之间性、数、人称方面与…）一致;
german,英 [?d??:m?n]美 [?d??rm?n],n. 德国人，德语( German的名词复数 ); [医]德国人; [人名] 杰曼斯;
toast,英 [t??st]美 [to?st],n. 烤面包; 干杯; 接受敬酒的人; （在某领域）广受赞誉的人; vt.& vi. 向…祝酒，为…
collector,英 [k??lekt?(r)]美 [k??l?kt?],n. 收集器; 收藏家，采集者; 收税员; [电子学] 集流器;
respect,英 [r??spekt]美 [r??sp?kt],vt. 尊重; 尊敬; 关心; 遵守; n. 敬意; 尊重，恭敬; 某方面;
authorization,英 [??:θ?ra??ze??n]美 [??θ?r??ze??n],n. 授权，批准; 批准（或授权）的证书;
enclosed,英 [?n?kl??zd]美 [?n?klo?zd],adj. 封闭的; 被附上的; （用墙等）围住的; 与外界隔绝的; v. （用墙、篱笆等）把…围起来
frequent,英 [?fri:kw?nt]美 [?frikw?nt],adj. 频繁的，时常发生的，常见的; （脉搏等）急促的，快的; vt. 常到，光顾，常与…交往; 
authenticate,英 [?:?θent?ke?t]美 [??θ?nt??ket],vt. 证明是真实的、可靠的或有效的; 鉴定，使生效;
everyone,英 [?evriw?n]美 [??vri?w?n],pron. 每人，人人;
subscribe,英 [s?b?skra?b]美 [s?b?skra?b],vt.& vi. 认购; 认捐，捐赠; 签署，题词，署名; 订阅，订购;
encryption,英 [?n'kr?p?n]美 [?n'kr?p?n],n. 加密; 编密码;
accumulator,英 [??kju:mj?le?t?(r)]美 [??kjumj??let?],n. <英>蓄电池，积聚者; 蓄势器; 收集器; 蓄电池组;
thought,英 [θ?:t]美 [θ?t],n. 思想; 想法; 关心; 思索; v. 认为; 以为; 想( think的过去式和过去分词); 
silently,英 [?sa?l?ntli]美 [?sa?l?ntl?],adv. 寂静地，沉默地; 闷头儿;
colorimetric,英 [k?l?r?'metr?k]美 [k?l?r?'metr?k],adj. 色度的比色的;
scaled,英 [ske?ld]美 [ske?ld],adj. 有鳞状斑点的，有鳞的;
estimate,英 [?est?m?t]美 [??st??met],n. 估计，预测; 报价，预算书; 评价，判断; vt. 估计，估算; 评价，评论; 估量，估价;
tolerance,英 [?t?l?r?ns]美 [?tɑl?r?ns],n. 公差; 宽容，容忍; 限度; 耐药量，耐药性;
expanding,英 [?ks'p?nd??]美 [?k'sp?nd??],adj. 展开的，扩大的; v. 扩大; 使…变大( expand的现在分词 ); 伸展; 伸开;
substantial,英 [s?b?st?n?l]美 [s?b?st?n??l],adj. 大量的; 结实的，牢固的; 重大的; n. 本质; 重要材料;
compressor,英 [k?m?pres?(r)]美 [k?m?pr?s?],n. 压气机，压缩机;
wheel,英 [wi:l]美 [wil],n. 轮子; 旋转; Wheels 汽车; 有…轮子的汽车（或自行车等）; vi. 转动，旋转; 突
trivial,英 [?tr?vi?l]美 [?tr?vi?l],adj. 琐碎的，无价值的; 平常的，平凡的; 不重要的; [生]种的;
rewrite,英 [?ri:?ra?t]美 [ri?ra?t],vt. 重写; 书面答复; 加工编写; 改写，修改; n. 改写或重写的文稿; 改写的作品;
keeping,英 [?ki:p??]美 [?kip??],n. 保管; 遵守; 一致; （与…）协调; v. 保存; （使）保持， （使）继续( keep的现
dropped,英 [dr?pt]美 [dr?pt],v. 降低; 落下（ drop的过去式和过去分词 ）; 减少;
anagram,英 [??n?gr?m]美 [??n??ɡr?m],n. 由颠倒字母顺序而构成的字[短语];
diagram,英 [?da??gr?m]美 [?da???ɡr?m],n. 图表; 示意图; 图解; [数]线图; vt. 图解; 用图表示;
compression,英 [k?m'pre?n]美 [k?m?pr???n],n. 压缩，压紧，浓缩，紧缩; 加压，压抑; （表现的）简练; 应压试验;
overlap,英 [???v??l?p]美 [?o?v?r?l?p],n. 重叠部分; 覆盖物，涂盖层; [数]交叠，相交; vt. 重叠; 与…部分相同; vi. 互搭
revision,英 [r??v??n]美 [r??v???n],n. 修订，修改; 修订本; 校对; 复审，上诉;
pathname,英 [p?θ'ne?m]美 [p?θ'ne?m],n. 路径名;
motivation,英 [?m??t?'ve??n]美 [?mot??ve??n],n. 动机; 动力; 诱因;
circuit,英 [?s?:k?t]美 [?s?rk?t],n. 巡回; 电路，线路; 唤醒，环形道; 〔电〕电流; vt. 巡回，周游;
reducer,英 [r?'dju:s?]美 [r?'djus?],n. 减速器; 缩减者，减压器，还原剂;
dinner,英 [?d?n?(r)]美 [?d?n?],n. 晚餐; 宴会; 正餐，主餐;
truly,英 [?tru:li]美 [?truli],adv. 真正; 精确地，正确地; 忠实的，诚实地; 正当地;
interlude,英 [??nt?lu:d]美 [??nt?rlud],n. 插曲; 穿插; 幕间节目; [乐]间奏;
reply,英 [r??pla?]美 [r??pla?],n. 回答，答复; 反应; 报复（行动）; [法律]答辩; vi. [法律]（原告对被告）答辩; 反
manhole,英 [?m?nh??l]美 [?m?nho?l],n. 人孔，检修孔; 探孔; 入孔; 进人孔;
forget,英 [f??get]美 [f?r?get],vt. 忘掉; 忘记，忘却; 忽略，疏忽; 遗落; vi. 忘记; 忽视;
frequently,英 [?fri:kw?ntli]美 [?frikw?ntl?],adv. 往往; 动辄; 频繁地，屡次地; 动;
mouse,英 [ma?s]美 [ma?s],n. 鼠标; 老鼠; 羞怯[胆小]的人; [非正式用语] 眼部青肿; vi. 捕鼠; 窥探，偷偷地寻
prone,英 [pr??n]美 [pro?n],adj. 俯卧的; 易于…的; 有…倾向的; 倾斜的，坡陡的;
truncated,英 ['tr??ke?t?d]美 [?tr???ket?d],adj. 切去顶端的，缩短了的，被删节的; v. 截面的( truncate的过去式和过去分词 );
conference,英 [?k?nf?r?ns]美 [?kɑnf?r?ns],n. 会议; 讨论; （正式）讨论会; [工会、工党用语]（每年的）大会; vi. 举行或参加（系列
diversity,英 [da??v?:s?ti]美 [da??v?rs?ti],n. 差异; 多样化，（人在种族、民族、宗教等方面的）多样性; 分歧;
cuisine,英 [kw??zi:n]美 [kw??zin],n. 菜肴; 烹饪，烹调法;
asking,英 [?ɑ:sk??]美 [?ɑsk??],n. 问; 要求; 请求; 寻问; v. 要求; 询问; 请求; 问（ ask的现在分词 ）;
foundation,英 [fa?n?de??n]美 [fa?n?de??n],n. 基础; 地基; 粉底; 基金（会）;
remain,英 [r??me?n]美 [r??men],n. 剩余物，残骸; 残余; 遗迹; 遗体; vi. 保持; 依然; 留下; 留待; vi.& li
repetition,英 [?rep??t??n]美 [?r?p??t???n],n. 重复，反复; 背诵; 复制品，副本; [乐]复唱，复奏，重奏;
pagination,英 [?p?d???ne??n]美 [?p?d???ne??n],n. 编页码; <术>页码，页码标注; 标注页码;
namely,英 [?ne?mli]美 [?nemli],adv. 即，也就是; 换句话说; 亦即; 就是说;
correspond,英 [?k?r??sp?nd]美 [?k?r??spɑnd],vi. 相应; 通信; 符合，一致;
extent,英 [?k?stent]美 [?k?st?nt],n. 程度; 长度; 广大地域; 扣押;
integrate,英 [??nt?gre?t]美 [??nt??ɡret],vt. 使一体化; 使整合; 使完整; 使结合成为整体; vi. 成为一体; 结合在一起; 合并; 
batch,英 [b?t?]美 [b?t?],n. 一批; 一炉; （食物、药物等的）一批生产的量; 成批作业;
smoker,英 [?sm??k?(r)]美 [?smo?k?(r)],n. 吸烟者;
arrow,英 [??r??]美 [??ro?],n. 矢，箭; 箭状物; 箭头记号; [天]天箭座;
bunch,英 [b?nt?]美 [b?nt?],n. 束，串，捆; 一串，一群; 一帮，一伙; [非正式用语]大量; vt. 聚成一串，形成一串; 
sigma,英 [?s?gm?]美 ['s?ɡm?],n. 希腊字母表的第十八字母（∑，σ）;
archives,英 ['ɑ:ka?vz]美 ['ɑka?vz],n. 档案，档案馆; 档案文件( archive的名词复数 ); 档案馆，档案室; v. 存档( a
contract,英 [?k?ntr?kt]美 [?kɑntr?kt],n. 合同; 契约; 协议; v. 签合同; 缩小; 感染;
migrate,英 [ma??gre?t]美 [?ma?gre?t],vi. 移动; 迁移，移往; 随季节而移居; vt. 使移居; 使移植;
amend,英 [??mend]美 [??m?nd],vt.& vi. 修订; 改良，修改;
banner,英 [?b?n?(r)]美 [?b?n?],n. 横幅; 标语; 旗，旗帜; 大字标题; adj. 第一流的，第一位的; 杰出的; 领先的，为首
saying,英 [?se???]美 [?se??],n. 话; 说话; 谚语，格言; v. 说(say的ing形式);
birthday,英 [?b?:θde?]美 [?b?rθde?],n. 生日; 诞辰; 成立纪念日;
punctuation,英 [?p??kt?u?e??n]美 [?p??kt?u?e??n],n. 标点符号; 标点符号的使用; 标点法; 点标点;
benchmark,英 [?bent?mɑ:k]美 [?bent?mɑrk],n. 基准，参照; 标准检查程序; 水准标; vt. 检测（用基准问题测试）;
believe,英 [b??li:v]美 [b??liv],v. 信任; 料想; 笃信宗教; vt. 相信; 信任; 以为，认为; 对…信以为真;
helping,英 [?help??]美 [?h?lp??],n. （食物）的一份; 帮助，支持; v. 帮助( help的现在分词 ); 有助于，有利于; 治疗
concur,英 [k?n?k?:(r)]美 [k?n?k?],vi. 同意; 互助; 同时发生; 共同作用;
financial,英 [fa??n?n?l]美 [fa??n?n?(?)l],adj. 金融的; 财务的; 财政的; 有钱的;
chase,英 [t?e?s]美 [t?es],vt. 追求; 追捕; 追寻; 镂刻; n. 追捕; 打猎; 猎物（指鸟兽等）; 槽; vi. 追逐
dialogue,"英 ['da??l?ɡ]美 [?da???l?ɡ, -?lɑɡ]",n. 对话; 对白; （文学、戏剧、电影等中的）对话; 意见分歧者之间的意见交换; vt. 用对话表
augmentation,英 [??:ɡmen'te??n]美 [??ɡm?n?te??n],n. 增大; 扩大; 增加物; <音>主题延长;
transfer,英 [tr?ns?f?:(r)]美 [tr?ns?f?],vt. 使转移; 使调动; 转让（权利等）; 让与; vi. 转让; 转学; 转乘; 转会（尤指职业
overwrite,英 [???v??ra?t]美 [?o?v?r?ra?t],v. 写在…上面，写得过多; n. 推销佣金;
needle,英 [?ni:dl]美 [?nidl],n. 针; 针状物; <口>刺激性言行; vt. 用针缝，刺; 刺激，激怒; <俚>增加（饮料的）酒
colleague,,
irrelevant,英 [??rel?v?nt]美 [??r?l?v?nt],adj. 不相干的; 不恰当; 缺乏时代性的，落后于潮流的; 牛头不对马嘴;
backslash,英 [?b?ksl??]美 [?b?k?sl??],n. 反斜线符号;
cleanup,英 ['kli:n?p]美 ['klin??p],n. 清理; 清扫; 清除 （污染物）; 整顿;
eventually,英 [??vent?u?li]美 [??v?nt?u?li],adv. 终究; 终于，最后; 竟; 总归;
sandbox,英 [?s?ndb?ks]美 [?s?ndbɑks],n. 沙箱，沙盒;
tribute,英 [?tr?bju:t]美 [?tr?bjut],n. 致敬; 贡品; 悼念; 体现;
wolfram,英 ['w?lfr?m]美 ['w?lfr?m],n. 钨锰铁矿，钨;
grade,英 [gre?d]美 [ɡred],n. 等级; 年级; 职别; 成绩等级; vt. 评分; 安排; 依序排列，依等级排列; 评估; v
globe,英 [gl??b]美 [glo?b],n. 地球仪; 球，球状物; 地球，世界; 天体; v. （使）成球状;
designing,英 [d?'za?n??]美 [d?'za?n??],adj. 狡诈的，狡猾的，诡计多端的; v. 设计; 设计，绘制( design的现在分词 ); 计
closely,英 ['kl??sl?]美 [?klosl?],adv. 紧密地; 接近地; 严密地; 亲近地;
divided,英 [d??va?d?d]美 [d??va?d?d],adj. 分离的，被分割的，分裂的; v. 划分; 分( divide的过去式和过去分词 ); 分离
altogether,英 [??:lt??gee?(r)]美 [??lt??ɡ?e?],adv. 总共; 全部地; 完全地; 总而言之; n. 〈口〉裸体;
stability,英 [st??b?l?ti]美 [st??b?l?ti],n. 稳定（性），稳固; 坚定，恒心;
weird,英 [w??d]美 [w?rd],adj. 不可思议的; 怪诞的，超自然的; 奇怪的，奇异的; <古>命运的，宿命的; n. 命运，宿
fuzzy,英 [?f?zi]美 [?f?zi],adj. 模糊的; 绒毛般的，毛茸茸的; 糊涂的，含糊不清的;
increment,"英 [???kr?m?nt]美 [??nkr?m?nt, ???-]",n. 增量; 增长; 增额;  定期的加薪;
profit,,
postal,英 [?p??stl]美 [?po?stl],adj. 邮政的; 邮政局的; n. <美口>明信片;
derivative,英 [d??r?v?t?v]美 [d??r?v?t?v],n. [数]导数，微商; [化] 衍生物，派生物; [语]派生词; adj. 衍生的; 导出的; 拷
termination,英 [?t?:m??ne??n]美 [?t?rm??ne??n],n. 结束; 终止妊娠; 终止处; 结局;
interception,英 [??nt?'sep?n]美 [??nt??s?p??n],n. 中途夺取，拦截，侦听; 阻留; 定方位; 断球;
suffice,英 [s??fa?s]美 [s??fa?s],vi. 足够; 有能力; vt. 满足…的需要; 使满足;
tracker,英 [?tr?k?(r)]美 ['tr?k?r],n. 追踪者，追踪系统，纤夫;
legend,英 [?led??nd]美 [?l?d??nd],n. 传说; 传奇人物; 图例; 铭文;
bonus,英 [?b??n?s]美 [?bo?n?s],n. 奖金，额外津贴; 红利，额外股息; 退职金; 额外令人高兴的事情;
temperature,"英 [?tempr?t??(r)]美 [?t?mp?r??t??r,-t??,?t?mpr?-]",n. 温度; 气温; 体温; <口>发烧，高烧;
population,英 [?p?pju?le??n]美 [?pɑpju?le??n],n. 人口; 全体居民; 特定[生物]种群; [物]布居;
likewise,英 [?la?kwa?z]美 [?la?k?wa?z],adv. 同样地; 也，而且;
inclusion,英 [?n?klu:?n]美 [?n?klu??n],n. 包含; 内含物;
extreme,英 [?k?stri:m]美 [?k?strim],adj. 极端的，过激的; 极限的，非常的; 末端的; （政治上）急进的; n. 极端; 困境; [
panel,英 [?p?nl]美 [?p?n?l],n. 镶板; 面; （门、墙等上面的）嵌板; 控制板; vt. 选定（陪审团）; 把…分格; 在…上
fetching,英 [?fet???]美 [?f?t???],adj. 动人的，吸引人的，迷人的; v. 接来（某人）( fetch的现在分词 ); 使发出; 吸
applicable,"英 [??pl?k?bl]美 [??pl?k?b?l, ??pl?k?-]",adj. 适当的; 可应用的;
exponentiation,英 [?eksp???nen??'e???n]美 [?ekspo??nen??'e???n],n. 求幂; 取幂;
recover,英 [r??k?v?(r)]美 [r?'k?v?r],vt. 恢复; 找回; 重新获得; <正>恢复（适当的状态或位置）; vi. 恢复健康（体力、能力等
protected,英 [pr?'tekt?d]美 [pr?'tekt?d],v. 防护; 保护( protect的过去式和过去分词 ); 投保; 关税保护;
strongly,英 [str??l?]美 [?str??l?],adv. 强烈地; 坚强地; 坚固地; 强有力地;
hyperbolic,英 [?ha?p??b?l?k]美 [?ha?p?r?bɑl?k],adj. 夸张的; <几>双曲线的，<数>双曲线函数的;
pickled,英 [?p?kld]美 [?p?k?ld],adj. 腌制的; 盐渍的; <俚>烂醉如泥的; v. 腌，( pickle的过去式和过去分词);
worked,英 [w?:kt]美 [w?kt],adj. 处理过的，作装饰用的; v. （使）工作( work的过去式和过去分词 ); （使）运作;
selenium,英 [s??li:ni?m]美 [s??lini?m],n. 硒;
align,英 [??la?n]美 [??la?n],vt. 使成一线，使结盟; 排整齐; vi. 排列; 成一条线;
adjust,英 [??d??st]美 [??d??st],vt.& vi. （改变…以）适应，调整，校正; 调准（望远镜等），对准，校正，校准（机械等）; 核
fundamental,英 [?f?nd??mentl]美 [?f?nd??m?ntl],adj. 基础的，基本的，根本的，重要的，原始的，主要的，十分重大的; [物]基频的，基谐波的; [
snakebite,英 [?sne?kba?t]美 [?snek?ba?t],n. （尤指毒蛇咬的）蛇咬伤;
asparagus,英 [??sp?r?g?s]美 [??sp?r?ɡ?s],n. 天冬; 芦笋，芦笋的茎;
challenge,英 [?t??l?nd?]美 [?t??l?nd?],n. 挑战; 质疑; 盘问; 怀疑; vt. 质疑; 向…挑战; vi. 提出挑战，要求竞赛（或竞争
closest,英 [k'l??s?st]美 [k'lo?s?st],adj. 最靠近的;
haven,英 [?he?vn]美 [?hev?n],n. 港口，安全地方; 避难所，安息所; vt. 把（船）开进港; 为…提供避难场所; 掩护;
mention,英 [?men?n]美 [?m?n??n],vt. 提到，说起; 提名表扬; n. 提及;
flash,英 [fl??]美 [fl??],vt.& vi. 使闪光，使闪烁; 拍出，发出（电报等）; 〈口〉炫耀; n. 闪光; 闪光灯下摄成
publish,英 [?p?bl??]美 [?p?bl??],vt.& vi. 出版，发行; 发表，宣布（结婚等）; 公布，颁布; 出版…的著作;
adjacent,英 [??d?e?snt]美 [??d?es?nt],adj. 相邻; 邻近的，毗邻的; （时间上）紧接着的;
directed,英 [d?'rekt?d]美 [d?'rekt?d],adj. 定向的; 有指导的; 有管理的; 被控制的; v. （用建议、指示、有益的情报等）指导( 
modular,英 [?m?dj?l?(r)]美 [?mɑd??l?(r)],adj. 模块化的; 模的; （尤指英国大学里的课程 ）分单元的（由独立单元组成，学生可选修）; （
quotient,英 [?kw???nt]美 [?kwo??nt],n. 商，商数;
studio,英 [?stju:di??]美 [?studio?],n. 工作室，画室; [影]演播室，电影制片厂;
snake,英 [sne?k]美 [snek],n. 蛇; 奸险的人; 卑劣的人; 蛇形浮动汇率制; vt. 沿…曲折前进（或延伸）; <美>/<口
efficiency,英 [??f??nsi]美 [??f???nsi],n. 功效; 效率，效能; 实力，能力; [物]性能;
